<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IRKT,D,050521,0000,25.08,25.18,24.9,25.04,30200
IRKT,D,060521,0000,25.14,25.68,25.04,25.48,349700
IRKT,D,070521,0000,25.34,25.4,24.92,25.02,115300
IRKT,D,080521,0000,25.02,25.26,25.02,25.14,48700
IRKT,D,110521,0000,25.04,25.88,25.04,25.42,108900
IRKT,D,120521,0000,25.26,25.54,24.98,25.06,172100
IRKT,D,130521,0000,25.1,25.4,24.96,25.06,60300
IRKT,D,140521,0000,25.2,25.2,24.82,24.92,103600
IRKT,D,150521,0000,24.98,25.2,24.82,24.92,122800
IRKT,D,180521,0000,25.08,25.8,25.04,25.08,136100
IRKT,D,190521,0000,25.16,25.32,25.06,25.2,36000
IRKT,D,200521,0000,25.22,25.42,25.1,25.16,67600
IRKT,D,210521,0000,25.2,25.2,25,25.08,38200
IRKT,D,220521,0000,25,25.08,24.8,25,87800
IRKT,D,250521,0000,25.02,25.3,24.92,25.14,110800
IRKT,D,260521,0000,25.28,25.28,25.06,25.22,28500
IRKT,D,270521,0000,25.18,25.3,25,25.08,44800
IRKT,D,280521,0000,25.04,25.16,24.98,25.04,95500
IRKT,D,290521,0000,25.2,25.24,25,25.08,71000
IRKT,D,010621,0000,25.1,25.18,24.98,25.06,64200
IRKT,D,020621,0000,25.04,25.34,25,25.08,111600
IRKT,D,030621,0000,25.16,25.16,24.98,25.08,79700
IRKT,D,040621,0000,25.08,25.18,24.98,25.04,81000
IRKT,D,050621,0000,25.04,25.08,24.94,25.06,50400
IRKT,D,080621,0000,25,25.2,24.76,25.1,116500
IRKT,D,090621,0000,25.16,25.16,24.92,25,79800
IRKT,D,100621,0000,25.06,25.1,24.88,24.96,87400
IRKT,D,110621,0000,25.1,25.1,24.88,25.04,52000
IRKT,D,120621,0000,24.98,25.04,24.8,24.88,135800
IRKT,D,150621,0000,24.9,24.98,24.84,24.84,21600
IRKT,D,160621,0000,24.98,24.98,24.6,24.74,124600
IRKT,D,170621,0000,24.74,25.04,24.72,25.04,40600
IRKT,D,180621,0000,25,25.08,24.82,24.84,27900
IRKT,D,190621,0000,24.86,25.04,24.78,25.04,27100
IRKT,D,220621,0000,25,25.04,24.84,24.92,59500
IRKT,D,230621,0000,24.94,25.14,24.9,24.9,64500
IRKT,D,240621,0000,25.02,25.02,24.78,24.82,42300
IRKT,D,250621,0000,24.92,25.02,24.74,25,70300
IRKT,D,260621,0000,25.04,25.04,24.76,24.84,42900
IRKT,D,290621,0000,24.9,24.98,24.76,24.86,37200
IRKT,D,300621,0000,24.96,25,24.76,24.92,38100
IRKT,D,010721,0000,24.92,25.02,24.8,24.9,19300
IRKT,D,020721,0000,24.82,24.98,24.78,24.9,60100
IRKT,D,030721,0000,24.9,25.1,24.8,24.82,20700
IRKT,D,060721,0000,24.98,25,24.82,24.96,28800
IRKT,D,070721,0000,24.96,25.04,24.82,24.92,114800
IRKT,D,080721,0000,24.96,25.76,24.94,25.32,236500
IRKT,D,090721,0000,25.32,25.86,25.04,25.52,123600
IRKT,D,100721,0000,25.68,25.72,25.26,25.36,55400
IRKT,D,130721,0000,25.6,27.84,25.32,26.44,895900
IRKT,D,140721,0000,26.2,27.88,26.2,26.5,474600
IRKT,D,150721,0000,26.98,26.98,26.2,26.2,180600
IRKT,D,160721,0000,26.14,26.48,25.62,26.18,165100
IRKT,D,170721,0000,26.44,26.8,26.22,26.8,169900
IRKT,D,200721,0000,26.84,28.84,26.8,27.54,883100
IRKT,D,210721,0000,27.98,28.6,26.58,27,348200
IRKT,D,220721,0000,27,27.52,25.9,26.1,314700
IRKT,D,230721,0000,25.84,26.58,25.6,25.96,194500
IRKT,D,240721,0000,25.96,25.96,25,25.16,286100
IRKT,D,270721,0000,25.18,25.18,24.48,24.82,293600
IRKT,D,280721,0000,24.68,25,24.14,24.42,234900
IRKT,D,290721,0000,24.54,24.82,24.5,24.72,58300
IRKT,D,300721,0000,24.78,24.78,24.3,24.58,304400
IRKT,D,310721,0000,24.68,24.68,24.2,24.4,337300
IRKT,D,030821,0000,24.48,24.7,24.3,24.42,137700
IRKT,D,040821,0000,24.36,24.52,24.1,24.46,183400
IRKT,D,050821,0000,24.3,25.3,24,24.5,265400
IRKT,D,060821,0000,24.5,25.18,24.28,24.94,146100
IRKT,D,070821,0000,24.96,25.28,24.6,24.82,54900
IRKT,D,100821,0000,24.4,24.82,24.4,24.72,35800
IRKT,D,110821,0000,24.88,24.92,24.5,24.74,49400
IRKT,D,120821,0000,24.7,24.82,24.52,24.78,17600
IRKT,D,130821,0000,24.96,24.96,24.42,24.56,48100
IRKT,D,140821,0000,24.74,24.76,24.26,24.52,104400
IRKT,D,170821,0000,24.62,24.9,23.74,24.4,318200
IRKT,D,180821,0000,24.7,24.84,24.58,24.7,235000
IRKT,D,190821,0000,24.66,24.76,24.28,24.6,37700
IRKT,D,200821,0000,24.4,24.66,24.3,24.48,52500
IRKT,D,210821,0000,24.58,24.58,24.2,24.32,70900
IRKT,D,240821,0000,24.56,24.56,24.28,24.38,33000
IRKT,D,250821,0000,24.4,24.44,24.12,24.3,52000
IRKT,D,260821,0000,24.32,24.44,24.02,24.4,41000
IRKT,D,270821,0000,24.4,24.62,24.24,24.24,71700
IRKT,D,280821,0000,24.32,24.4,24.22,24.3,33300
IRKT,D,310821,0000,24.38,24.42,24.1,24.3,111400
IRKT,D,010921,0000,24.5,24.58,24.22,24.42,119500
IRKT,D,020921,0000,24.4,24.64,24.24,24.48,27200
IRKT,D,030921,0000,24.52,24.68,24.44,24.56,61200
IRKT,D,040921,0000,24.62,24.8,24.52,24.72,52500
IRKT,D,070921,0000,24.72,24.78,24.52,24.64,36700
IRKT,D,080921,0000,24.54,24.76,24.48,24.62,49200
IRKT,D,090921,0000,24.56,24.64,24.36,24.54,154900
IRKT,D,100921,0000,24.52,24.8,24.4,24.64,124600
IRKT,D,110921,0000,24.78,24.8,24.5,24.6,34000
IRKT,D,140921,0000,24.62,24.78,24.46,24.56,52200
IRKT,D,150921,0000,24.8,24.8,24.54,24.68,24300
IRKT,D,160921,0000,24.82,24.82,24.62,24.72,23200
IRKT,D,170921,0000,24.76,24.9,24.5,24.52,67000
IRKT,D,180921,0000,24.46,25.36,24.46,24.62,163800
IRKT,D,210921,0000,24.98,24.98,24.32,24.5,193700
IRKT,D,220921,0000,24.7,24.72,24.4,24.42,42600
IRKT,D,230921,0000,24.6,24.6,24.4,24.4,37700
IRKT,D,240921,0000,24.58,24.6,24.4,24.5,16800
IRKT,D,250921,0000,24.6,24.64,24.42,24.64,72900
IRKT,D,280921,0000,24.56,24.7,24.4,24.46,73000
IRKT,D,290921,0000,24.46,24.66,24.34,24.42,48000
IRKT,D,300921,0000,24.42,24.62,24.38,24.44,22000
IRKT,D,011021,0000,24.36,24.5,24.36,24.46,16300
IRKT,D,021021,0000,24.36,24.48,24.2,24.22,56300
IRKT,D,051021,0000,24.4,24.58,24.2,24.24,28700
IRKT,D,061021,0000,24.34,24.62,24.24,24.36,61700
IRKT,D,071021,0000,24.28,24.46,24.16,24.2,60100
IRKT,D,081021,0000,24.34,24.46,24.26,24.46,22400
IRKT,D,091021,0000,24.58,24.58,24.32,24.52,39700
