<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHUSDT,D,010819,0300,209.57,218.79,209.2,218.42,207213.55658
ETHUSDT,D,020819,0300,218.42,219.39,210.54,216.84,186806.18844
ETHUSDT,D,030819,0300,216.8,222.18,214.31,217.61,206867.03039
ETHUSDT,D,040819,0300,217.69,224.51,216.62,222.14,181591.95296
ETHUSDT,D,050819,0300,222.14,223.34,216.9,221.79,135622.0258
ETHUSDT,D,060819,0300,221.79,236.25,221.79,233.54,307956.27211
ETHUSDT,D,070819,0300,233.53,239.15,223.03,226.28,341279.08159
ETHUSDT,D,080819,0300,226.31,231.25,220.95,226.1,279104.7037
ETHUSDT,D,090819,0300,226.11,228.5,215.51,221.39,236886.35423
ETHUSDT,D,100819,0300,221.38,221.79,207.3,210.53,232062.12757
ETHUSDT,D,110819,0300,210.52,215,202.6,206.48,252614.02389
ETHUSDT,D,120819,0300,206.48,216.94,206.14,216.42,188474.09048
ETHUSDT,D,130819,0300,216.41,216.81,209.75,211.41,122760.94619
ETHUSDT,D,140819,0300,211.58,214.3,204,209.3,166922.48201
ETHUSDT,D,150819,0300,209.31,209.9,183.49,187.1,325228.98931
ETHUSDT,D,160819,0300,187.08,189.95,181.23,188.03,237953.09426
ETHUSDT,D,170819,0300,187.98,188.39,178.04,184.88,282177.01584
ETHUSDT,D,180819,0300,184.83,187,181.83,185.59,138799.61508
ETHUSDT,D,190819,0300,185.67,197.91,183.35,194.33,175363.5062
ETHUSDT,D,200819,0300,194.32,203.59,192.7,202.28,239541.5978
ETHUSDT,D,210819,0300,202.24,202.75,194.45,196.6,189289.4883
ETHUSDT,D,220819,0300,196.55,197.2,179.53,187.45,284973.64194
ETHUSDT,D,230819,0300,187.45,195.14,182.8,190.35,245575.98772
ETHUSDT,D,240819,0300,190.36,196.19,188.16,194.02,192548.51552
ETHUSDT,D,250819,0300,194.02,194.09,185.63,190.6,167806.34294
ETHUSDT,D,260819,0300,190.6,192.4,182.8,186.54,169862.91522
ETHUSDT,D,270819,0300,186.54,193.7,186,188.67,254397.79472
ETHUSDT,D,280819,0300,188.61,189.49,184.75,187.24,157898.563
ETHUSDT,D,290819,0300,187.3,188.25,166.48,173.03,334480.61761
ETHUSDT,D,300819,0300,173.03,173.5,163.61,169.01,295241.216
ETHUSDT,D,310819,0300,169.03,170.77,165.55,168.5,238616.68868
ETHUSDT,D,010919,0300,168.48,174.98,165.63,171.57,194999.19583
ETHUSDT,D,020919,0300,171.52,173.42,167.61,170.74,191140.52368
ETHUSDT,D,030919,0300,170.73,181,170.02,178.05,294627.31247
ETHUSDT,D,040919,0300,178,183,174.09,178.75,327857.85447
ETHUSDT,D,050919,0300,178.79,180.14,173,174.72,286226.25171
ETHUSDT,D,060919,0300,174.7,176.19,168.1,173.75,232753.83596
ETHUSDT,D,070919,0300,173.74,177.87,165,169.08,315822.37984
ETHUSDT,D,080919,0300,169.11,180.8,168.3,177.62,253831.23169
ETHUSDT,D,090919,0300,177.58,184.18,176.13,181.19,290083.47501
ETHUSDT,D,100919,0300,181.18,185.38,176.01,180.54,273729.94868
ETHUSDT,D,110919,0300,180.52,184.36,177,179.81,238387.50999
ETHUSDT,D,120919,0300,179.87,182.8,173,178.28,278555.46708
ETHUSDT,D,130919,0300,178.3,182.38,176.62,180.72,203543.13663
ETHUSDT,D,140919,0300,180.71,181.38,177.54,180.95,264422.54059
ETHUSDT,D,150919,0300,180.96,188.79,179.75,188.13,279371.83423
ETHUSDT,D,160919,0300,188.14,190.45,185.76,189.03,288928.60827
ETHUSDT,D,170919,0300,189.05,199.44,188.3,197.22,551006.81686
ETHUSDT,D,180919,0300,197.23,215.13,195.74,207.84,715863.2262
ETHUSDT,D,190919,0300,207.85,217.27,207.66,210.21,539028.51013
ETHUSDT,D,200919,0300,210.27,223.94,202.3,220.24,844358.82155
ETHUSDT,D,210919,0300,220.26,221.54,212.05,218.03,437804.12669
ETHUSDT,D,220919,0300,218.01,221.5,213.2,215.05,417891.5242
ETHUSDT,D,230919,0300,215.04,215.61,206.1,211.2,445388.94787
ETHUSDT,D,240919,0300,211.2,211.68,198.65,201.29,392437.07084
ETHUSDT,D,250919,0300,201.25,202.98,150.03,165.81,1478218.82714
ETHUSDT,D,260919,0300,165.72,174.85,161.88,169.96,879001.46213
ETHUSDT,D,270919,0300,169.96,171.01,152.11,165.92,779942.17148
ETHUSDT,D,280919,0300,165.92,176.72,161.03,173.79,634932.96707
ETHUSDT,D,290919,0300,173.83,175.49,168,173.49,521775.46593
ETHUSDT,D,300919,0300,173.5,174.5,164.12,169.24,410855.12176
ETHUSDT,D,011019,0300,169.26,181.24,165.01,180.85,580295.3997
ETHUSDT,D,021019,0300,180.89,185.53,173.19,175.66,609819.60828
ETHUSDT,D,031019,0300,175.65,181.29,173.65,180.24,348268.1162
ETHUSDT,D,041019,0300,180.24,180.72,169.55,174.69,354756.78478
ETHUSDT,D,051019,0300,174.71,178.98,170.74,175.55,333897.63876
ETHUSDT,D,061019,0300,175.55,176.71,172.02,176.25,278488.61771
ETHUSDT,D,071019,0300,176.23,177.04,167.68,170.1,314932.39629
ETHUSDT,D,081019,0300,170.08,182.32,168.68,179.85,496523.48038
ETHUSDT,D,091019,0300,179.88,184.87,177,180.6,400832.37828
ETHUSDT,D,101019,0300,180.61,195.53,178.96,192.62,562506.82189
ETHUSDT,D,111019,0300,192.61,194.2,186.88,191.14,436588.58452
ETHUSDT,D,121019,0300,191.18,196.65,179.41,180.72,621693.63125
ETHUSDT,D,131019,0300,180.65,184.64,177.59,179.68,290415.22038
ETHUSDT,D,141019,0300,179.65,184.95,178.52,180.99,247589.23231
ETHUSDT,D,151019,0300,180.98,187.54,180.43,186.72,279732.84612
ETHUSDT,D,161019,0300,186.7,188.37,175.96,180.49,405466.38109
ETHUSDT,D,171019,0300,180.52,181.44,171.81,174.47,347764.93459
ETHUSDT,D,181019,0300,174.52,178.96,172.61,177.16,298795.8198
ETHUSDT,D,191019,0300,177.17,177.44,168.66,172.74,319602.48508
ETHUSDT,D,201019,0300,172.78,174.98,169.44,171.79,296918.73026
ETHUSDT,D,211019,0300,171.84,176.88,169.21,175.22,299141.07152
ETHUSDT,D,221019,0300,175.18,177.9,171.59,173.98,270608.51385
ETHUSDT,D,231019,0300,174,175.04,170.3,171.2,255429.41624
ETHUSDT,D,241019,0300,171.19,171.49,153.45,162.35,746955.09806
ETHUSDT,D,251019,0300,162.35,163.72,158.72,160.38,387310.83766
ETHUSDT,D,261019,0300,160.39,187.78,160.25,181.5,904832.86059
ETHUSDT,D,271019,0300,181.53,197.74,173.8,179.49,1211737.43684
ETHUSDT,D,281019,0300,179.42,188.7,176.22,183.75,724423.40525
ETHUSDT,D,291019,0300,183.84,189.48,180.35,181.72,582179.44545
ETHUSDT,D,301019,0300,181.67,192.74,181.26,190.46,529964.5054
ETHUSDT,D,311019,0300,190.45,191.71,179.28,183.13,537770.43056
ETHUSDT,D,011119,0300,183.14,185.27,177.66,182.18,410969.86104
ETHUSDT,D,021119,0300,182.19,184.5,177.02,182.85,331519.76963
ETHUSDT,D,031119,0300,182.86,186,181.53,182.91,179864.39739
ETHUSDT,D,041119,0300,182.9,184.7,178.95,181.54,232621.52147
ETHUSDT,D,051119,0300,181.53,188.64,180.36,185.71,321175.29134
ETHUSDT,D,061119,0300,185.71,192.51,182.22,188.68,389668.6472
ETHUSDT,D,071119,0300,188.65,195.09,187.72,191.16,343219.9224
ETHUSDT,D,081119,0300,191.16,192.27,184.59,186.68,309882.08206
ETHUSDT,D,091119,0300,186.67,188.26,181.41,183.74,365029.75027
ETHUSDT,D,101119,0300,183.71,185.79,182.63,184.89,192073.38044
ETHUSDT,D,111119,0300,184.86,191.58,183.3,188.96,274940.53448
ETHUSDT,D,121119,0300,188.96,190.19,184.06,184.98,255579.93429
ETHUSDT,D,131119,0300,184.98,187.65,182.41,187.09,256782.63119
ETHUSDT,D,141119,0300,187.09,189.66,185.3,188.11,197273.84001
ETHUSDT,D,151119,0300,188.07,188.72,183.34,184.92,245505.29971
ETHUSDT,D,161119,0300,184.93,186.7,177.67,180,407466.78964
ETHUSDT,D,171119,0300,179.99,183.46,179.3,182.37,172801.52576
ETHUSDT,D,181119,0300,182.37,186.09,180,183.82,198892.4372
ETHUSDT,D,191119,0300,183.82,184.06,175.01,178.2,293551.23632
ETHUSDT,D,201119,0300,178.2,178.52,172.65,175.94,275886.6411
ETHUSDT,D,211119,0300,175.93,177.41,173.5,174.72,216315.93309
ETHUSDT,D,221119,0300,174.75,175.85,157.26,161.01,473895.92992
ETHUSDT,D,231119,0300,161.02,162.79,138,149.56,977977.23794
ETHUSDT,D,241119,0300,149.55,154.33,146.11,151.84,369721.0996
ETHUSDT,D,251119,0300,151.84,152.86,138.62,139.96,352319.21558
ETHUSDT,D,261119,0300,139.99,151.5,131.45,145.69,749675.41303
ETHUSDT,D,271119,0300,145.81,149.97,143.37,147.47,354023.04298
ETHUSDT,D,281119,0300,147.47,155.54,140.84,152.62,564796.4284
ETHUSDT,D,291119,0300,152.61,154.63,149.09,150.72,317714.56326
ETHUSDT,D,301119,0300,150.69,157.6,150.23,154.57,328712.25558
ETHUSDT,D,011219,0300,154.54,155.25,149.7,151.37,226863.41299
ETHUSDT,D,021219,0300,151.43,152.49,145.79,150.73,344178.14088
ETHUSDT,D,031219,0300,150.72,151.42,146.71,148.65,233839.0973
ETHUSDT,D,041219,0300,148.66,149.93,145.77,147.17,196329.22503
ETHUSDT,D,051219,0300,147.19,151.98,143.15,145.38,434430.62379
ETHUSDT,D,061219,0300,145.45,149.02,143.64,148.1,299073.53972
ETHUSDT,D,071219,0300,148.11,149.77,145.74,148.45,220674.68581
ETHUSDT,D,081219,0300,148.46,149.49,146.85,147.14,140471.68588
ETHUSDT,D,091219,0300,147.16,151.62,146.11,150.44,205301.6026
ETHUSDT,D,101219,0300,150.44,151.19,146.56,147.38,243775.99249
ETHUSDT,D,111219,0300,147.4,148.57,143.81,145.56,203215.84937
ETHUSDT,D,121219,0300,145.53,146.34,142.12,143.39,157843.10484
ETHUSDT,D,131219,0300,143.41,145.85,139.24,144.87,261615.30437
ETHUSDT,D,141219,0300,144.87,146,142.8,144.8,160695.18556
ETHUSDT,D,151219,0300,144.8,145.07,141.18,141.79,126232.59201
ETHUSDT,D,161219,0300,141.79,144.12,139.92,142.46,151189.65877
ETHUSDT,D,171219,0300,142.46,142.72,127.93,132.73,471018.85942
ETHUSDT,D,181219,0300,132.72,132.98,119.11,121.88,563257.36001
ETHUSDT,D,191219,0300,121.88,134.87,116.26,132.78,884960.91334
ETHUSDT,D,201219,0300,132.8,134,125.69,128.1,420674.8172
ETHUSDT,D,211219,0300,128.1,129.39,125.84,128.19,213897.4673
ETHUSDT,D,221219,0300,128.19,128.4,126.5,126.99,135196.11641
ETHUSDT,D,231219,0300,127,133.07,126.82,132.09,253140.72413
ETHUSDT,D,241219,0300,132.12,135.1,126,127.8,421600.75655
ETHUSDT,D,251219,0300,127.8,129.69,126.61,127.75,200637.10098
ETHUSDT,D,261219,0300,127.7,127.84,123.07,125.09,225004.4909
ETHUSDT,D,271219,0300,125.09,132.26,124.32,125.58,274986.52097
ETHUSDT,D,281219,0300,125.58,127.1,121.91,126.29,240012.37451
ETHUSDT,D,291219,0300,126.28,129.68,125.84,128.11,196893.52277
